epoch,train_loss,val_loss,val_mIoU,val_mDICE,val_flood_IoU,val_flood_F1,val_flood_Precision,val_flood_Recall
11,0.139966,0.157809,0.829363,0.866320,0.814338,0.896908,0.818638,0.993570
12,0.136811,0.150298,0.859835,0.883959,0.881935,0.936480,0.896649,0.981693
13,0.135081,0.149467,0.848201,0.877302,0.855678,0.921327,0.863498,0.989325
14,0.132115,0.152539,0.868711,0.888847,0.901483,0.947335,0.923411,0.974101
15,0.129136,0.142573,0.853404,0.880285,0.867401,0.928106,0.873140,0.992224
16,0.128598,0.142338,0.854558,0.881025,0.870330,0.929970,0.878085,0.989776
17,0.126368,0.140399,0.857827,0.882828,0.877541,0.933980,0.885067,0.990200
18,0.126908,0.139470,0.860380,0.884253,0.883046,0.937084,0.890929,0.989801
19,0.121784,0.138405,0.859546,0.883751,0.881274,0.935997,0.887845,0.991456
