epoch,train_loss,val_loss,val_mIoU,val_mDICE,val_flood_IoU,val_flood_F1,val_flood_Precision,val_flood_Recall
15,0.175472,0.157763,0.827834,0.865449,0.810243,0.894590,0.814983,0.992899
16,0.167281,0.156781,0.855379,0.881529,0.872127,0.931089,0.893807,0.973884
17,0.175894,0.217488,0.859088,0.883429,0.878610,0.934424,0.955240,0.917917
18,0.158691,0.170850,0.870350,0.889748,0.904759,0.949165,0.945725,0.954060
19,0.163707,0.148917,0.836989,0.870532,0.830145,0.905747,0.831828,0.997288
20,0.152388,0.143574,0.855039,0.880131,0.870238,0.927162,0.874636,0.994062
21,0.154765,0.139504,0.857103,0.882481,0.875927,0.933207,0.881693,0.992342
22,0.147633,0.141328,0.851455,0.878560,0.862442,0.923806,0.865549,0.995740
23,0.150197,0.135424,0.861865,0.885045,0.886686,0.939030,0.893436,0.991472
