epoch,train_loss,val_loss,val_mIoU,val_mDICE,val_flood_IoU,val_flood_F1,val_flood_Precision,val_flood_Recall
1,1.024765,0.699065,0.552694,0.642213,0.270895,0.424597,0.273581,0.960482
2,0.461286,0.301959,0.779477,0.834529,0.703563,0.825061,0.737062,0.941592
3,0.253145,0.237302,0.813909,0.856473,0.778402,0.873805,0.803176,0.962935
4,0.202367,0.201761,0.818328,0.859461,0.788914,0.880949,0.801596,0.980477
5,0.182014,0.190226,0.836075,0.870216,0.828550,0.905304,0.853456,0.966687
6,0.169936,0.176508,0.822009,0.861872,0.797869,0.886817,0.806331,0.987165
7,0.159064,0.168792,0.826872,0.864735,0.808858,0.893355,0.816208,0.989257
8,0.153683,0.166963,0.851567,0.879323,0.863493,0.926052,0.890532,0.967127
9,0.146982,0.157802,0.844906,0.875384,0.848909,0.917303,0.861081,0.984016
